;;;;;;;
Оценка склада (в розничных ценах) ;;;;;;;
;;;;;;;
Параметры:;;Дата отчета: 13.02.2026 0:00:00;;;;;
;;Вид цены: ;;;;;
;;;;;;;
Склад;;;;;Остаток на складе;Себестоимость;Стоимость ( в розничных ценах)
Номенклатура, Ед. изм.;;;;;;;
;;;;
Велозамок (противоугон.)800х12мм  -83 (-81), шт;;;;;4,000;600,00;1 560,00
Велозамок ABUS COBRA , Трос в оплетке, 8x1850mm, Без замка, Black, шт;;;;;4,000;;1 360,00
Велозамок кодовыйTZ-420, шт;;;;;1,000;80,00;220,00
Велозвонок DEEPAK NEW, шт;;;;;8,000;;480,00
Велозвонок металл,цветн.153, шт;;;;;3,000;199,50;300,00
"Велокамера 16"" Росшина, шт";;;;;1,000;;150,00
"Велокамера 20"" *4.0 FAT BIKE , шт";;;;;2,000;;1 260,00
Велокомпьютер TRIX беспроводной, подсветка,18 функций, черный, шт;;;;;1,000;;2 180,00
Велокомпьютер электронный, 25 функций, водозащитный, проводной, 824A, шт;;;;;1,000;;1 120,00
Велокомпьютер, безпроводной (спидометр, таймер, калории, подсветка), шт;;;;;1,000;181,00;1 790,00
Велокорзина детская, цветная, пластик (974-36) 04, шт;;;;;5,000;;1 200,00
"Велопокрышка 20""  KAMA Veita HT110 1.95(50-406), шт";;;;;2,000;360,00;1 740,00
"Велопокрышка 29"" 2*125, шт";;;;;4,000;;2 480,00
Велопокрышка d 20-2.35 DYRRO синяя, шт;;;;;4,000;;3 200,00
Велосигнал электр.6 мелод. SB-205 (10504\142), шт;;;;;1,000;130,00;350,00
Велосипед 24 KINK,сталь,21 скор,2D торм(белый,чёрный,синий,серый), шт;;;;;1,000;;13 900,00
"Велосипед 24 PATRON"",сталь,21 скор,2D тормоза(ПАКЕТ)(чёрный,синий,коричневый,серый), шт";;;;;1,000;;12 750,00
Велосипед 26 KINK,сталь,21 скор,2D тормоза(белый,чёрный,серый,синий), шт;;;;;1,000;;14 350,00
Велосипед 26 SHREDER-MT-2640,рама сталь,24 скор,литые диски,(сер/чёрн,чёрн/красн,зелён), шт;;;;;1,000;;18 500,00
"Велосипед 26"" KERAMBIT-XTR-550-13"" /сталь /спицы,2D тормоза,21 скор(оранж,чёрно/крас,ч/зел, шт";;;;;1,000;;18 650,00
"Велосипед 3-х колесный ""ФЕРМЕР-БАЙК"",кол.24,корзина передн,задняя,фонарь, шт";;;;;1,000;;29 900,00
"Велосипед Black Aqua Princess 14""; 2021 ( розово-сиреневый),ручка-толкатель,зеркало,багажник, шт";;;;;1,000;;10 200,00
"Велосипед Foxx 24"" Caiman D 14,зеленый,сталь,12 скор,задн.пер.Shimano torney, шт";;;;;1,000;;22 800,00
"Велосипед NOVATRACK 12"", TWIST, тормоз нож., корот.крылья, полная защита цепиб передняя кор, шт";;;;;1,000;2 929,50;7 450,00
"Велосипед Novatrack 18"", VECTOR,153765 оранжевый, защита А-тип, тормоз нож., крылья и багажник чёрн., шт";;;;;1,000;;9 850,00
"Велосипед Stark'22 Luna 26.1 D Steel оранжевый/желтый 16"", рама сталь,21 скор,2D тормоза, шт";;;;;1,000;;23 850,00
"Велосипед STELS  Pilot-710 24"" складной (черный), шт";;;;;1,000;;13 650,00
Велосипед М! 22 MERIN, 22 MR-S7-21S,рама сталь,21 скор,(цвет красный). бутылка,насос,, шт;;;;;1,000;;16 700,00
Велосипед М! 24 BOOMER CNC, Алюминий, 24 скор,спицы(цвет: синий,оранж-синий,сер-красный,сер-зеленый), шт;;;;;1,000;;17 850,00
"Велосипед М! 24"" MINGDI-2.0(M-48)(коробка), шт";;;;;1,000;;19 500,00
Велосипед М! 27,5 Boomer,алюм,24 скор.цвет: серый. МАРКИРОВКА, шт;;;;;1,000;;19 990,00
"Велосипед М! 28  Avangard- 300,(Чёрный)"" 2025, 28 С Z010(м), шт";;;;;1,000;;13 950,00
Велосипед М! 28  Legenda- 330,(Морская волна) 2025 28C Z010(м)EP-00005138,дорожный,без корзины, шт;;;;;1,000;;15 000,00
"Велосипед М! Black Aqua Princess 12""; 1s, с ручкой (фиолетовый-розовый), шт";;;;;1,000;;9 650,00
"Велосипед М! Black Aqua Sharp 12""; 1s (серый-оранжевый), шт";;;;;1,000;;9 650,00
"Велосипед М! Black Aqua Sharp 14""; 1s (серый-оранжевый), шт";;;;;1,000;;8 850,00
"Велосипед М! BLACK AQUA Sport 20"", 6 скор 2023 г.(графитово-зелёный), шт";;;;;1,000;;14 300,00
Велосипед М! BlackAqua 1603 (мятный), шт;;;;;1,000;;7 850,00
Велосипед М! BlackAqua 1803 (розовый), шт;;;;;1,000;;8 550,00
Велосипед М! BlackAqua 2004 (с корзиной, синий), шт;;;;;1,000;;9 550,00
Велосипед М! BlackAqua 2004 (с корзиной, хаки), шт;;;;;1,000;;9 150,00
Велосипед М! MERIN , 20 горный, подростковый, рама сталь , спицы. 7 скоростей. Цвет желтый, шт;;;;;1,000;;15 300,00
"Велосипед М! STELS Flash KR 14"" Z010 7.4"" Серый2024 (JU135337), шт";;;;;2,000;;29 960,00
Велосипед М! STELS, 28  Legenda- 330,(Чёрный) 2025 28C Z010(м)EP-00005138,дорожный,без корзины, шт;;;;;1,000;;14 550,00
"Велосипед М! Talisman 16"" Z011 9.5"" Чёрный 2023,рама сталь,багажник, шт";;;;;1,000;;10 650,00
"Велосипед М! Tech Team ""Cruise"" 14"" neon green (сталь),без багажника, шт";;;;;1,000;;9 980,00
"Велосипед М! Tech Team Spectra 26""x12"" синий,сталь,7 скор.2D тормоза, шт";;;;;1,000;;22 950,00
"Велосипед М! Фэтбайк 26"" MD 4.0 -М-44,AL рама,пер.аммортиз,8 скор(ч/кр,ч/зел,сер/ор), шт";;;;;1,000;;29 950,00
Велосипед модель (сувенир) 400, шт;;;;;1,000;160,00;800,00
"ВелосипедМ! 28  Avangard- 300,(Зелёный)""2025, 28 С Z010(м)(EP-00005139),дорожный,мужской,без корзины, шт";;;;;2,000;;27 800,00
Велоспидометр 20.функц.(сигнал с подсвет.) 974-74, шт;;;;;1,000;;1 600,00
Велосумка на багажник, 4 отделения, ремень через плечо  15410-116, шт;;;;;1,000;;1 990,00
Велосумка на раму, жесткая, B-SOUL, карбон SJ-278, шт;;;;;1,000;;1 140,00
Велосумка на раму,руль,с отд.под телефон ,светоотраж.полоски 289, шт;;;;;2,000;;920,00
Велосумка на раму,черная,боковой карман-сеточка 690-92, шт;;;;;2,000;;600,00
Велосумка под раму B-SOUL, тканевая, цвета в ассорт., светоотражающ. полоса, шт;;;;;1,000;170,00;670,00
Велосумка под седло средняя вс 081/ 081.013 цвета в ассортименте, шт;;;;;2,000;406,00;700,00
Велосумка, на раму, с чехлом на телефон, водонепрониц., черная, отверстие под наушн., кабель S39-24, шт;;;;;1,000;100,00;750,00
Велотренажёр ONLITOP ОТ-2545, механический, шт;;;;;1,000;;10 850,00
Велофара з/у от USB SJ-20047, шт;;;;;1,000;;540,00
Велофонарь -1277, шт;;;;;2,000;;580,00
Велофонарь -1480, шт;;;;;3,000;750,00;990,00
Велофонарь передний 9 диодов,JY-154А, шт;;;;;1,000;200,00;390,00
Велофонарь передний STG 7036 , шт;;;;;1,000;160,00;680,00
Велоцепь 116зв.,MTB ,спорт (упак.пакет), шт;;;;;2,000;300,00;480,00
"Велоцепь скор.""КМС"" 6 скоростей (хром), шт";;;;;1,000;;490,00
Венок византийский  55 55 (1003861), шт;;;;;1,000;80,00;2 650,00
Венок еловый с ягодами, шишками шарами D56см H7L214.22W Азалия Декор, шт;;;;;1,000;55,00;4 500,00
Вентилятор механич.с ручкой, шт;;;;;1,000;28,00;100,00
Вертлюжок CR-035, шт;;;;;1,000;;90,00
Вертлюжок с карабином рыбол.  (ходовые позиции), шт;;;;;17,000;38,25;1 190,00
Верхушка для ёлки 00130, шт;;;;;3,000;;780,00
"Ветка декор. ""Снежки"" 703 (1001920), шт";;;;;4,000;;2 520,00
Ветка декоративная  YT-7 (альт), шт;;;;;1,000;;230,00
Ветка декоративная  с глиттером 71 см красная Китай 4278/R (1001966), шт;;;;;2,000;;1 090,00
Ветка красная шиповник (1004439), шт;;;;;2,000;412,00;1 000,00
Ветка Ягода 0397-12    (1004323), шт;;;;;1,000;24,00;160,00
Ветряная мельница, желтая, шт;;;;;3,000;;660,00
Визитница (кож.зам) H-004 05613, шт;;;;;1,000;;120,00
"Вилка 20"" с шайбой под подшипник,длина резьбы 100мм., шт";;;;;1,000;;730,00
"Вилка велосипедная 16"" длина штока 168мм, шт";;;;;1,000;;750,00
"Вилка передняя 24"" , шт";;;;;1,000;;720,00
"Вилка передняя 26"" под ""V-Brake"", черная, резьбовая, шт";;;;;1,000;;700,00
"Вилка передняя 28"" под ""V-Brake"", черная резьбовая, шт";;;;;1,000;;700,00
Винтовка пневмат. Retay 70S кал.4.5мм Camo Grass 2543, шт;;;;;1,000;108,00;9 200,00
Вкладыш для автодокументов 06828, шт;;;;;10,000;;500,00
Воблер AF, шт;;;;;4,000;;520,00
Воблер AF MDP 90, шт;;;;;2,000;;580,00
Воблер AF PE37 (PPR55) , шт;;;;;2,000;;540,00
Водный бластер с баллоном 54см AR-10492, шт;;;;;3,000;;2 460,00
Водяной пистолет   YS358, шт;;;;;2,000;226,00;1 780,00
Водяной пистолет  HQ89000, шт;;;;;2,000;;1 100,00
"Волан ""Ingame"" перо,  бел. (04955), шт";;;;;9,000;;810,00
Волан LED /YU-11/  (светящийся)  01325, шт;;;;;15,000;;2 175,00
Волан TORRES 250, /BD20109/   06609, шт;;;;;7,000;;980,00
Волан перо,  белый /414/  (00512), шт;;;;;9,000;;585,00
Волан перо, (01326) цветн., шт;;;;;1,000;;60,00
Волан перо, в тубе цветн./NO777/ черн. (04108), шт;;;;;11,000;;1 100,00
Волан пластик (01324), шт;;;;;35,000;;525,00
Волан пластик цветн.06488, шт;;;;;9,000;;225,00
Волан пластмас. Small - 12   (00509), шт;;;;;3,000;;165,00
Втулка  SF передн., FAT BIKE, алюмин., под 6 болтов, на гайках, 36H, ось 3/8''х135x175мм, черн. пром, шт;;;;;1,000;;950,00
Втулка 32H, зад. сталь под трещ. 3/8x135x145 с эксц. Сер., шт;;;;;2,000;;800,00
Втулка 32H, перед. сталь 3/8x100x140 на гайках сер., шт;;;;;2,000;100,00;480,00
"Втулка заднего колеса ""Coster"" , 36 отв., с рисками, шт";;;;;4,000;1 200,00;3 080,00
"Втулка заднего колеса ""EAGLE"" (Русский стандарт) с звездочкой-19Т. в КОРПУСЕ, аналог ЧЕШСКОЙ, шт";;;;;1,000;;1 100,00
Выжимка цепи TRIX 3-7 скоростей со спицевым ключем 14-15G, стальная, серебристая, шт;;;;;1,000;;990,00
